nama,reviews,rating
Muhammad Ikhsan,"Saya pesan mie kuah tom yam, enak dan segar. Topping ayamnya tidak pelit. Paling sempat merasa dibeberapa bagian mie nya yg masih kerasa, semacam kurang direbus. Suasananya nyaman, kalau siang harus cari meja yang agak di dalam, kalau agak diluar dekat pintu akan cukup panas karena mengahadap langsung ke matahari dan dinding depannya mostly kaca.",4 bintang
Binti Nur Latifah,pisang gorengnya mantap… gorengannya crunchy.. cocok sama hot chocolatte 👍,5 bintang
Lutvi Permana,"Tempat cozzy, service ok bgt, Suasana relax. Keren & very recomend apalagi yg suka suasana clasic dapet bgt moodnya. Anyway capuchinonya pas bgt. Wajib coba yg ke makasar nongky disini sih...",5 bintang
Tirza Mahardani,"Cafenya enak untuk nongkrong pulang kantor. Waktu kesini kebetulan ada nobar psm, tpi ga bgitu keganggu sih. …",5 bintang
Havid Han,"Tempat yang menyenangkan untuk hang out. Kopinya mantap, sayangnya untuk tambah hot water karena minuman kemanisan, kok kena charge lagi 10k?",3 bintang
Ferdi choco,"Pelayanan perlu di tingkatkan lagi jangan cuman melayani orang yg berpakaian bagus duluan.
Saya Pesan di saat masih sepi, tapi orang yg belakangan pesan sudah dapat …",3 bintang
Livia Tungardy,"Kopinya enak, pelayannya ramah

Reccomend",5 bintang
tenri santy,Bagus untuk nongki lama dengan teman maupun keluarga,5 bintang
Riana Nilasari,Kopinya enak. Makanannya juga gada yang fail. Fruit saladnya full buah asli segar. Grilled cheese my fav. Salmon mantap.,5 bintang
sakifa mutiarahany jassin,bagussss enak mantap jaya!! always be one!!!,5 bintang
Dinda Andini,Pelayanannya snagat ramah baru makanan juga enak enak,5 bintang
salma sisil,"baristanya sebagian mukanya jutek, mmg pribumi dia layani tp yg di liat good looking & good harta ji kl selain itu nda ramah skl, nda bisa di training itu kah pelayanannya? sy juga liat sbgian org2 riview tentang pelayanannya yg bad brrt di situ yg kurang.",1 bintang
Tirza Mahardani,"Cafenya enak untuk nongkrong pulang kantor. Waktu kesini kebetulan ada nobar psm, tpi ga bgitu keganggu sih.

Interiornya bagus. Caramel lattenya lumayan enak. Belum coba makanan berartnya di cafe ini.",5 bintang
Ferdi choco,"Pelayanan perlu di tingkatkan lagi jangan cuman melayani orang yg berpakaian bagus duluan.
Saya Pesan di saat masih sepi, tapi orang yg belakangan pesan sudah dapat pesanan tapi saya hampir 10 kali minta baru di antarkan.
Saya minta air putih 5 botol tp cuman 4 orang yg di kasi gelas, sedangkan saya tidak di beri gelas",3 bintang
Pieth Lelapary,keren dan nyaman cafenya,5 bintang
Lusia Gurumada,"Bertempat di jl. Sultan Hasanudin, lokasi stratevis. Tempatnya azik, bwr AC tapi boleh merokok. Makanan enak, minumanjuga enak
Rekomen deh tempanya",5 bintang
Samuel Limputra,"Tempatnya cozy, makanannya enak dan affordable sm pelayanannya jga baguss. Bisa main kartu jadi seru buat nongki sama temen",5 bintang
yus Lsantri,malming disini nyaman suasana..sayangnya live music nya terlalu cepat berakhir hanya sampe jam 10.. mungkin next bisa sampe jam 00.00,4 bintang
blogcious,"Makanannya enak, yang saya suka di sini nasi gorengnya. Yang kurang hanya bagian non-smoking area dengan smoking area tidak terpisah. Minumannya variatif, untuk harga lumayan pricey.",5 bintang
Gracia Imanuela,sandwichnya enak! besar dan bkin kenyang,5 bintang
