nama,reviews,rating
Falah Putra Caesarianto (Putra),"Memutuskan datang ke sini setelah explore google review dan melihat foto-foto serta rating 4.7 dari 1200+ reviews. Setelah 3 hari dinas mendatangi beberapa cafe dan resto lain di Makassar namun mengalami kekecewaan, sehingga berharap bisa mendapatkan pengalaman berbeda di goodfields.

Datang pada 11 Feb 26, sekitar pukul 18.45. First impression utk resto yaitu ambience dan atmospherenya nyaman, fasilitas lengkap, dan cukup luas.

Saat berkunjung memang sedang ada group besar sekitar 20 pax dan beberapa pax kecil lain. Namun, melihat kapasitas resto yang cukup luas dan nyaman, tidak heran jika memang jadi pilihan utk group meals.

Sayangnya, bukannya mendapat pengalaman makan yang menyenangkan, malah berakhir kelaparan.

Diawali saat melakukan order pada sekitar pukul 19, dilayani oleh waiter pria, saya menanyakan bahwa ada 2 menu pan seared salmon dengan deskripsi yg mirip dan bedanya apa. Waiter tersebut tidak bisa jawab dan memanggil temannya yang wanita

Kemudian berganti dilayani oleh waiter yg wanita, yang saya sempat baca nametagnya merupakan trainee, menjelaskan perbedaan 2 menu pan seared salmon tersebut hanya beda di garnish dan salad, karena di deskripsi menggunakan sauce yang sama meski nama menunya berbeda, tentunya tidak menjawab kebingungan saya. Kemudian saya juga memesan ice chocolate, dengan request tidak pakai whip cream, biscuit, dan simple syrup seperti pada gambar menu. Waiter wanita mengkonfirmasi bahwa apa yakin tidak pakai simple syrup karena akan pahit. Saya dengan sadar mengkonfirmasi tidak masalah dengan rasa pahit, karena ekspektasi saya ya memang dark chocolate. Untuk makanan saya memesan soup tofu beef slice dan pan seared salmon

Setelah memesan, minuman keluar cukup cepat. Namun, saat saya coba, bukan rasa pahit seperti yg dijelaskan waiter yang saya rasakan, tetapi tetap relatif cukup manis untuk ice chocolate yg tidak ditambahkan whip cream, biscuit, dan simple syrup. Dari sini terlihat bahwa product knowledge waiter terhadap makanan & minuman yang ditawarkan tidak baik. Jika memang rasanya tetap manis, buat apa mewanti2 dari request saya bahwa akan pahit? Konyol

Yang paling konyol adalah, iya memang sedang ada group besar. Setelah menunggu sampai 1 jam lebih, makanan saya tak kunjung datang. Saat selesai pesan, waiter tidak ada konfirmasi estimasi kapan makanan akan datang. Setiap ditanya waiter tidak bisa menjawab, bilang akan ditanyakan ke kitchen, namun tidak kembali lagi memberi jawaban. Akhirnya pukul 20.15 memutuskan utk walk out bayar minuman saja yg sudah keluar.

Bisa-bisanya disuruh menunggu makanan 1 jam+ tanpa ada konfirmasi. Bahkan datang pun di hari Rabu malam yang bukan tipikal waktu orang makan keluar seperti weekend. Alasan makanan lama keluar karena sedang ada order besar (dengan adanya group besar 20 pax tersebut). Tapi yang benar saja, anda buat resto dengan kapasitas besar, tapi masa tidak bisa handle saat kapasitas resto tersebut penuh, kan konyol.

Harusnya persiapannya juga bisa lebih matang lah. Group besar kan biasanya resevasi dulu, tidak tiba2 datang. Harusnya sudah tau akan ada group besar, ya timnya bisa lebih prepare utk handle big order sekaligus. Kalau memang tidak sanggup, ya ga usah terima tamu tambahan. Bahkan, memang di lt. 1 cukup penuh, tapi lt. 2-nya masih ada beberapa meja kosong yang artinya tidak sedang full capacity. Sangat konyol dan tidak professional tidak bisa handle big order utk resto dengan kapasitas yang besar",1 bintang
nur hikmah ramadani h,"Sdh beberapa kali dtg kesini krn suasana yg nyaman utk nongkrong.
Menu yg recommended disini ya soto betawi.
Nasi gorengnya enak-enak, cuma perlu diperhatikan lagi utk nasinya jgn sampai benyek.
So far, menunya belum ada yg 'failedl' di lidah.
Untuk minuman porsinya besar ya, kadang suka dibungkus pulang soalnya sayang disisakan, rasanya enak hehe",5 bintang
Hendhy Rahakbauw,"Pesan menu ice cream utk dessert, dibiarin menunggu sampe 1 jam lebih, semua waitress tiap ditanya pura2 sibuk ngecek. Bosan tanya 2-3x saya samperin, ternyata mesin eskrim sepertinya rusak/blom siap. Mau paksaa serving dalam keadaan encer. Konyol. Sejak awal semua diam saja setiap ditanya. Sangat buang waktu menunggu lebih sejam. Komunikasi sangat buruk.",1 bintang
abrar firdaus,"Tempat nya lumayan nyaman, bersih, toilet bersih, mushalla ada,. Untuk acara kecil2an ada ruangan VIP, untuk nongki juga oke, pelayanan juga gercep.",5 bintang
Maulidah Ismi,"Paling suka sama pelayanannya dari masuk sampai keluar cafe selalu dilayani dnegan senyuman, apalagi yg antar ki makanan ku itu, cwe agk kecil² , sopan cekaliii, aku syukaaa",5 bintang
Rabiatul Adawiyah,"Mantap 👍🏻
Pelayannya ramah2 dan pelayanannya cepat 😊👍🏻
Makanannya dan minumannya enak2 🤍 …",5 bintang
Andre Michael,"Petugas valet sangat tidak membantu, saya menunggu 30 menit lebih di depan parkiran dalam kondisi saya tidak tau kalau tempat nya punya petugas valet Dan ada Mobil parkir mengahalangi slot parkiran yang kosong ,petugas petugas valetnya …",1 bintang
Ayu Rachmadany,Makanan enak dan suasananya nyaman,5 bintang
Joly Zhang,"Makanan enak, tapi untuk menunggu makanan bisa di atas 30 menit dengan keadaan resto sepi. Pesan sphagetti bolognaise 40 menit br jadi. Ini resto ga punya ya SOP brp lama serve makanan? 2x dapat kondisi begini. Pesan pizza 18:20 wita sdh …",1 bintang
Andi Mega Ningratna,"Cozy place.. Sukaaa.. Makanan cepet,enak, gak berisik, wifi lancar jaya. Suka kesini siang agak sore gak terlalu rame",5 bintang
